business_kindom_key,business_kindom_name,matched_mohw_name,new_category
2e9c90ad-3c58-4be6-b777-4cca7f1ea89c,王國哲診所_王國哲診所,王國哲診所,專業照護服務
d4de290d-7d44-42eb-8090-007cfd1d0d2c,世豪小客車租賃有限公司_世豪小客車租賃有限公司,世豪小客車租賃有限公司,交通接送服務(DA01)
7b9f845d-a6c6-458a-8434-ef359ce8bc8a,代安居家護理所_代安居家護理所,代安居家護理所,專業照護服務
132f672c-93c3-4f1a-97aa-e6d61a20b78b,台中市榮輝交通接送發展協會_台中市榮輝交通接送發展協會,臺中市榮輝交通接送發展協會,社區式交通接送服務(BD03)
b00affc9-ec4b-47b5-971f-e7d812aeeba5,榮輝交通接送發展協會_榮輝交通接送發展協會,臺中市榮輝交通接送發展協會,社區式交通接送服務(BD03)
07a35ee8-6330-4516-8b3e-6ab422cd3527,台中市西屯區永安社區發展協會_台中市西屯區永安社區發展協會,台中市西屯區永安社區發展協會,巷弄長照站
b364447d-302e-4b7e-9842-3fdb8a06ad02,台中市西屯區福瑞社區發展協會_台中市西屯區福瑞社區發展協會,臺中市西屯區福瑞社區發展協會,巷弄長照站
351ebf69-afcf-4fcc-bd46-12bc9d3e5d55,台北榮民總醫院_台北榮民總醫院,台北榮民總醫院,輔具及居家無障礙環境改善服務
afc318ba-04b7-4662-9a7b-3aa5cc228bab,台南市東區大福社區發展協會(大福社區關懷據點)_台南市東區大福社區發展協會(大福社區關懷據點),臺南市東區大福社區發展協會,巷弄長照站
4e377140-a191-426c-b31b-da97dedfc8c2,台南市東區後甲社區發展協會(後甲社區關懷據點)_台南市東區後甲社區發展協會(後甲社區關懷據點),台南市東區後甲社區發展協會,喘息服務
83a5142a-3ceb-465c-a440-b363ca529d7c,台南市東區東光社區發展協會(東光社區日托站)_台南市東區東光社區發展協會(東光社區日托站),臺南市東區東光社區發展協會,巷弄長照站
be338c6e-22bc-41c5-b0a7-82712a9d8741,台南市私立有德老人長期照顧中心_台南市私立有德老人長期照顧中心,臺南市私立有德老人長期照顧中心(養護型),喘息服務
337b52b9-2a02-42ec-8a21-575c19c17094,台灣健康社區自主發展協會_台灣健康社區自主發展協會,台灣健康社區自主發展協會,巷弄長照站
c1e55d37-bd2a-4f7b-889c-0de8de59256c,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院_台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,巷弄長照站
cd900c80-a982-403d-ad52-8298d5567b7e,台灣復康巴士有限公司_台灣復康巴士有限公司,台灣復康巴士有限公司,社區式交通接送服務(BD03)
7253eca1-2e63-4e71-ac28-57a5d1f2ca18,台灣福祉車租賃有限公司_台灣福祉車租賃有限公司,台灣福祉車租賃有限公司,交通接送服務(DA01)
9f8140ec-64da-49ff-8c86-52b1b73e0b2a,弘光診所_弘光診所,弘光診所,居家失能個案家庭醫師照護服務
09e0f06b-68af-48c7-b258-9f6010e8b05c,本堂澄清醫院附設護理之家_本堂澄清醫院附設護理之家,本堂澄清醫院附設護理之家,喘息服務
703813d0-eefa-438e-8de5-3b74f0e18808,正安診所_正安診所,正安診所,居家失能個案家庭醫師照護服務
1d8c9337-d234-4772-9df9-c78c55fee57b,民眾醫院_民眾醫院,民眾醫院,居家失能個案家庭醫師照護服務
cf5f52ea-bbeb-499a-9ecf-96a114f35037,永伈居家護理所_永伈居家護理所,永伈居家護理所,專業照護服務
aac8345c-336b-4a01-b748-9d6863d6b5ae,永和醫院_永和醫院,永和醫院,專業照護服務
e3dfba99-7dc4-4cb5-99e3-15338e22cc27,永康護理之家_永康護理之家,永康護理之家,喘息服務
5d2eec3e-5341-420a-9e70-0cc7f3382c71,玉樹診所_玉樹診所,玉樹診所,交通接送服務
327c5ed6-7006-4473-b294-12cc86bd05f2,白沙鄉小赤社區發展協會_白沙鄉小赤社區發展協會,澎湖縣白沙鄉小赤社區發展協會,巷弄長照站
44c6f021-9b83-45f8-a58e-34907ea329bc,禾安診所_禾安診所,禾安診所,居家失能個案家庭醫師照護服務
6ec5cb1e-4597-4943-97cb-798157e738bc,禾馨護理之家_禾馨護理之家,禾馨護理之家,巷弄長照站
7c43f4e2-2fa9-41fe-b48d-550fc3f8bc2f,立安診所_立安診所,立安診所,居家失能個案家庭醫師照護服務
1d83cdb9-a6ee-4606-ab31-ade677293b90,立林長青事業有限公司_立林長青事業有限公司,立林長青事業有限公司,交通接送服務(DA01)
17c2fe36-94f3-4c9f-9542-4aceadafc7a6,光田醫療社團法人光田綜合醫院_光田醫療社團法人光田綜合醫院,光田醫療社團法人光田綜合醫院,專業照護服務
5ad74d69-2a81-4982-903a-ae3721de4f84,全人護理之家_全人護理之家,全人護理之家,喘息服務
5705dfb1-aaef-4a93-9bb5-34fea1bb14a9,全豪小客車租賃有限公司_全豪小客車租賃有限公司,全豪小客車租賃有限公司,交通接送服務(DA01)
2904c6f0-b357-4c57-bf6e-18542c7da3ed,同仁醫院附設土城護理之家_同仁醫院附設土城護理之家,同仁醫院附設土城護理之家,日間照顧服務(BB)
8f1d12ef-eb42-4946-a7c7-fcbc0075c6fa,同仁醫院附設土城護理之家_同仁醫院附設土城護理之家,同仁醫院附設土城護理之家,日間照顧服務(BB)
32abda35-c7f5-4ffb-ad71-e6d9a7f1d44e,名倫護理之家_名倫護理之家,名倫護理之家,喘息服務
ede2e198-7c94-4844-9175-9bd4e4611ac1,后豐診所_后豐診所,后豐診所,居家失能個案家庭醫師照護服務
42d7b9a9-740e-4281-8753-a12975321d26,后豐診所_后豐診所,后豐診所,居家失能個案家庭醫師照護服務
79c29005-30d5-44af-8c10-342ab5bbd94a,多扶事業股份有限公司_多扶事業股份有限公司,多扶事業股份有限公司,輔具及居家無障礙環境改善服務
0066a240-f87d-4c4d-aaa7-d6c4a3ffb0c7,如毅診所_如毅診所,如毅診所,專業照護服務
eb0bf587-0326-4e45-82f2-e34d16d45031,安慎診所_安慎診所,安慎診所,居家失能個案家庭醫師照護服務
8067b726-c378-4d01-8765-f9da5dc4abf1,安泰診所_安泰診所,安泰診所,巷弄長照站
