type,count
其他,14999
巷弄長照站,234
喘息服務,105
個案管理服務,53
居家失能個案家庭醫師照護服務,46
專業照護服務,39
社區式交通接送服務(BD03),27
營養餐飲服務,19
日間照顧服務(BB),14
交通接送服務(DA01),10
輔具及居家無障礙環境改善服務,7
交通接送服務,7
居家服務,4
社區式,2
到宅沐浴車服務,1
專業照護服務(CC01),1
