key,name,new_category
cdd869c9-3727-4977-b77b-4ea5c4433a77,00宜蘭縣_大都會-羅東,其他
1ff2b975-5355-4d78-9a50-232cfba752dc,00宜蘭縣_伊甸,其他
fd7d37dc-18eb-4d78-a895-088205c38fda,00宜蘭縣_佳禾通業,其他
4d6503a8-7a50-4301-94ae-312c03b10a1c,00宜蘭縣_聖嘉明,其他
095f3257-c481-4508-a531-b916815c03b7,00宜蘭縣_羅東博愛醫院,其他
a95d0d33-cb64-41e3-8de2-3beb1a62f813,00宜蘭縣_羅東聖母醫院,其他
83efec25-058c-4592-8e2e-f42daaea5e2d,00宜蘭縣_蘇澳衛生所,其他
8d6c6cc8-f9f5-4432-b2c5-aa4c24ce500b,00宜蘭縣_阿寶基金會,其他
12642512-5118-4ce0-9a60-d266156e00b4,00宜蘭縣_財團法人台灣基督長老教會宜蘭教會,其他
82cd6fd7-4d95-4641-abc2-3ca713f26d3a,00宜蘭縣_創世基金會,其他
9f719e3b-173e-456f-8a2f-d790be9b3128,00宜蘭縣_喜樂學園長照,其他
25d72994-10d4-471c-b47d-45bf9873658d,00宜蘭縣_華山基金會,其他
4396f7c4-df46-4c06-8aa1-c35009ec2767,00宜蘭縣_首都客運,其他
3eb89eed-f543-42eb-b5ec-8e0fc50d1bd5,00宜蘭縣_國光客運羅東,其他
7666b37d-3eec-46dc-8edc-ab7b12b17f5f,00宜蘭縣_葛瑪蘭客運羅東站,其他
f6ec161b-1f0a-4fff-9134-0acea7e855e0,00宜蘭縣_宜蘭縣大同鄉英士文化健康站,其他
9e2bbc6e-0657-492e-9dce-be262cbea203,00新北市_小驢駒租賃,其他
5e83ad71-ae6a-45e2-88dc-7790db7f40d5,00新北市_北聯交通,其他
30d69514-7933-49a5-b98f-d843b890f911,00新北市_育成-新五,其他
d285b660-6cb4-49cd-a1e4-f7f9f47e05e1,00新北市_育成-板橋,其他
bd857fb8-a3fc-4310-905d-15d1f5b7ce22,00新北市_喬智健康,其他
c56c4efa-5074-45cb-874c-8108847467cf,00新北市_新北勝銨,其他
057cf216-1d86-4e95-ad0d-1b4726695ffe,00新北市_新北恩慈,其他
aa673894-c04b-4e7b-9860-926affb47694,00新北市_大王交通,其他
1b854c96-e423-4725-9b11-9dec4bbc3c9a,00新北市_大豐-林口,其他
ecf1ffc6-654f-412f-99cc-f228c775545d,00新北市_大豐-石碇,其他
b310691e-447f-4edf-a21c-538a7a83f032,00新北市_大豐-石碇,其他
32ed0c30-5f55-4f16-b8d1-8b24fc357408,00新北市_大都會-蘆洲,其他
be37227a-8e09-4d93-82de-cf41d6d2ce8f,00新北市_小驢駒租賃,其他
0d3ba49f-2e8a-4ea1-830a-47f75d4bc6d1,00新北市_太豐,其他
8038c7ab-ae95-493e-b176-eb4871126df5,00新北市_太豐交通,其他
fbb8a00c-9482-475b-8c8a-e52cc89842f8,00新北市_生通-三重,其他
03d3307a-cfdd-4717-8714-f2daaa763e74,00新北市_生通-中和,其他
778d2f6c-aa7d-43c8-8f6e-09a5f51b1b9f,00新北市_生通-土城,其他
9c31bb9c-0949-4478-b354-28157e5c6dcd,00新北市_生通-新店,其他
7c6354d3-f423-4b96-9408-48630b4fa10f,00新北市_生通-新店,其他
276f0e19-c528-460d-8178-7239558369c8,00新北市_生通-新莊,其他
559d577a-94e6-43b8-aa7f-0c9eb21d5a75,00新北市_生通-林口,其他
a7bbbdd9-83b5-4167-a72d-641b1b0bfd72,00新北市_生通-林口,其他
22923598-72b1-4301-a9ea-98498402c773,00新北市_生通-樹林,其他
d5d50d06-20ec-40ab-8ee4-ca8673b074fd,00新北市_生通-樹林,其他
ffdf6979-a073-4201-b378-fcd159338906,00新北市_生通-永和,其他
419c376b-cbd1-4b50-a8b1-13c736f1004f,00新北市_生通-淡水,其他
d976fe91-c140-42ba-8936-aa9326788a0f,00新北市_生通-瑞芳,其他
99f6794c-bda8-4ec7-9d08-23cf6781d10a,00新北市_西堤牛排-新莊,其他
6de63504-9bc1-4f7c-b3dc-151da61ff0e6,00新北市_育成-中和,其他
3e5e663b-8042-42d1-a428-7e8a7efd3e28,00新北市_育成-五股,其他
62b77fc8-bf67-4e38-b73e-aa7f7884f7de,00新北市_育成-新店,其他
e1a14163-60e8-4c0e-bba2-6711a5d06b2d,00新北市_育成-板橋,其他
17077a97-89f3-412a-943e-5e139db6cb7d,00新北市_育成-樹林,其他
a639e97f-f739-4a0f-90e2-89adbb5dd345,00新北市_育成-汐止,其他
ad0918a5-560b-4028-bba8-0365380f3177,00新北市_育成-泰山,其他
596ac483-eeb8-4f29-a118-c7f76e159ccc,00新北市_育成-淡水,其他
6feb5332-ae4b-420d-8773-f47d37cc8c4d,00新北市_個人陳皓力,其他
2884a8e5-9ece-4262-92ff-d63df4e89201,00新北市_泰豪,其他
4fd99470-4225-4876-8cdd-25d543b66b4a,00新北市_淡水國小輔導室,其他
289c8d28-9501-4e25-a8ee-5e08336ddccf,00新北市_統一超商-樟弘門市,其他
0f444067-16e0-47a7-8ba1-0be188878147,00新北市_愛家發展中心,其他
10dbcfe5-662a-4231-88b5-1bf8de3e1562,00新北市_漢達交通-蘆洲,其他
73575729-a8c1-486e-b518-bbf016ca6870,00新北市_龍洞直樓椅陳先生,其他
3c81829f-9cb7-4fb8-9dd0-551e3917de49,00新北市_北市私立旺福社區長照機構,其他
eeee00a1-799f-4bda-9bd4-75eb26fe912b,00新北市_台灣關愛基金會,其他
20d80365-fb16-41c6-a162-a01931a3a2ad,00新北市_宏十字護理之家,其他
b5d23985-3d41-4b3b-8e95-519aac843df7,00新北市_東暉診所,其他
755d9585-8007-4eef-8ebe-301a93ec5ad5,00新北市_財團法人新北市脊髓損傷者協會,其他
8c5e9512-9648-449d-b16b-fde154640f95,00新北市_啟動力股份有限公司,其他
1ed91c28-43ac-4a17-9954-e7893b89388c,00新北市_詠靜護理之家,其他
a604e08e-3492-4708-98fa-4f4ec2558c67,00新北市_愛鄰長照,其他
7a1bfba3-1255-4ccc-9712-043bbaaae8e8,00新北市_輪椅網球協會,其他
c3995796-e3be-48d2-92c4-69a4ec47fe5d,00新北市_中華民國身心障礙者休閒運動推廣協會,其他
05464b82-dcae-414a-a0ef-2ad0bdd415ef,00新北市_私立慈嘉老人長期照顧中心,其他
41176f8f-304f-491a-ae97-f38a5528eebb,00新竹_全豪,其他
a7bbe4ae-07aa-4187-9685-c4bc79a1ba6a,00新竹_李正生,其他
b087c836-16f6-430b-94cd-37d16d2c6530,00新竹_科誠公司,其他
da2cce02-42df-40fb-8614-58976201bc88,00新竹_胡正雄,其他
fef6f84c-3db8-4f45-8494-36469d1d608b,00新竹_張文廣,其他
df59f539-17fb-493f-969e-e7e616a92ff1,00新竹_陳宥全,其他
23c71734-7f56-475f-9ec4-551b406beb90,00新竹_黃豐仁,其他
01599164-85ae-4569-b956-b947916c8cc6,00新竹_韓巧婷,其他
7c913d0d-7b19-48f3-bd7e-b7c661f4dfd9,00新竹_生通-竹東,其他
9ff3268b-b69d-4ecc-a74c-f53580e2369b,00新竹_生通新竹,其他
3c131eda-ae4e-46c2-99b5-9e6b492e5e2c,00新竹_全豪,其他
285c1431-52d0-4a0e-83e5-1829c7e44862,00新竹_竹北日照中心,其他
5c5214c9-c2b9-4a0f-9fb8-17f542b3b7db,00新竹_伯大尼老人養護,其他
dde4f38a-24e0-4eb4-9498-ec1ead19e6fa,00新竹_崇德護理之家,其他
51510382-3581-4990-b7e4-f81867fbe863,00新竹_新埔長照,其他
fdad2dd8-a657-409a-bc47-390b7889d81e,00新竹_新竹台大醫院,其他
4aec5fab-dd86-445a-bfad-e5cd39762df7,00新竹_尖石鄉衛生所,其他
0b92fe38-dff8-4a29-89ba-56c158b6291b,00新竹_勝光長照,其他
3116d70d-f1fb-48e4-96d1-b15cddc359c9,00新竹_新竹市政府,其他
e3a94c8c-d4d6-46ba-83b8-ecdb92200afe,00新竹_恒通小客車租賃,其他
22b33cb0-3110-4f7a-8fb0-88a6c70838d3,00新竹_恒通小客車租賃,其他
bc4a0c90-18df-45c2-b4f7-e88e29957f1f,00維修-中區_一嵩,其他
ff538262-33ad-426f-8311-5de6a13f2a98,00維修-中區_一嵩,其他
36081229-45f2-45e8-a8fc-3fba61582ffd,00維修-中區_台中七十二孝,其他
884903e1-0b39-43e0-b713-cd62ef83a491,00維修-中區_台中三久建材,其他
41edc2f5-7a6d-4757-b556-1ad5e3368b7b,00維修-中區_台中伍驛,其他
cfde93c6-27a4-44bc-8457-ee453835bfae,00維修-中區_台中允智復康巴士,其他
4d2a8dd2-c104-4f72-b705-c1ed1784ee07,00維修-中區_台中劉家愷,其他
370e911f-d376-46c9-b844-a766edfa1110,00維修-中區_台中匯豐-南台中,其他
d99ee87d-1ae6-4ba4-85fc-08f88c87d606,00維修-中區_台中友愛,其他
430c2988-bf4b-4652-a379-8609ea7442cb,00維修-中區_台中同心圓,其他
1d21f58b-0693-4d6f-9386-8853d572cb31,00維修-中區_台中吳建峻,其他
38caccfb-e478-4c1a-864d-2d80761543cf,00維修-中區_台中哈妮,其他
c9eb6de6-13bf-4254-8cdc-b24b5e2ed259,00維修-中區_台中國光,其他
8115b359-72dc-4705-a216-24125c291946,00維修-中區_台中大雅TOYOTA,其他
babee08a-d8a0-4dd5-b418-068ed4ddd05d,00維修-中區_台中弘道,其他
dd0e28b5-9cfe-4e3f-89ab-e964b16085bd,00維修-中區_台中心苑日照,其他
86412d36-a538-45ec-9bd9-52f55760b1ba,00維修-中區_台中志浩,其他
5431b018-e2b7-4c8c-a23d-6d1ac0ed610a,00維修-中區_台中志浩,其他
efc74353-5bf8-4906-af1d-1e10bbbc300f,00維修-中區_台中志浩,其他
9f733ad7-a4c5-4a0b-b6c2-1987d3c8d5e5,00維修-中區_台中悠貝,其他
b7621b18-0634-4615-89a0-f1c3ebbb9d9b,00維修-中區_台中愛健康日照,其他
ba9c05c4-1592-44f8-9124-03bca3a4fa7c,00維修-中區_台中松霖居日照,其他
3bf4b52d-8732-4c38-ad55-3bfcdc3fe587,00維修-中區_台中林瑞富,其他
40c67e7d-85f9-497b-bc7f-6a818cf08429,00維修-中區_台中林瑞富,其他
8d50d3cd-0118-4364-b527-651762063b39,00維修-中區_台中榕博,其他
7b2c1653-7db0-4752-a95c-bb8b60683f61,00維修-中區_台中榕博,其他
4737a411-85d2-4829-a80b-b0fa2044d44b,00維修-中區_台中樹德日照,其他
e362d5be-739a-4554-8e1c-1d511271e5fe,00維修-中區_台中泰帥油壓,其他
e3c893ec-228a-4778-a97e-79600e497a00,00維修-中區_台中王文奎,其他
f6b3b424-b80b-4bd1-87a9-323e3b62fa98,00維修-中區_台中璦爸媽,其他
f32b90eb-2306-456f-81e5-676ec81f34d6,00維修-中區_台中盤古銀髮,其他
